# mapping_set_id: https://github.com/Pinellia7ternata/TCM-Symptom-Ontology/mappings/TCM-SO-SNOMEDCT.sssom.tsv
# license: https://creativecommons.org/licenses/by/4.0/
# mapping_provider: https://github.com/Pinellia7ternata/TCM-Symptom-Ontology
# mapping_date: 2026-09-17
# creator_id: https://github.com/Pinellia7ternata
# mapping_tool: manual expert curation after lexical/semantic pre-screening
# object_source: SNOMED CT (International Edition)
# comment_type
# comment: Subject classes are TCM Symptom Ontology (TCM-SO, release v4.10) symptom classes; predicate and object identify the cross-terminology alignment.
# curie_map:
#   TCM-SO: http://OntoTCM.org.cn/ontologies/tcm_v38/f#
#   HP: http://purl.obolibrary.org/obo/HP_
#   SNOMEDCT: http://snomed.info/id/
#   ICD11: https://icd.who.int/browse11/l-m/en#
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	curation_status
TCM-SO:sx_指甲色黄	Yellow nail	skos:closeMatch	SNOMEDCT:45342007	yellow nails	semapv:ManualMappingCuration	
TCM-SO:sx_肿瘤悬垂	pendulous tumor	skos:closeMatch	SNOMEDCT:108369006	abnormal tissue mass	semapv:ManualMappingCuration	
TCM-SO:sx_肿瘤悬垂	pendulous tumor	skos:closeMatch	SNOMEDCT:363346000	abnormal tissue mass	semapv:ManualMappingCuration	
TCM-SO:sx_咽红	red pharynx	skos:closeMatch	SNOMEDCT:126685009	neoplasia of the pharynx	semapv:ManualMappingCuration	
TCM-SO:sx_痫	epileptic seizure (xian)	skos:exactMatch	SNOMEDCT:246545002	epilepsy	semapv:ManualMappingCuration	
TCM-SO:sx_臀部生痈	buttock abscess	skos:closeMatch	SNOMEDCT:299709002	dental abscess	semapv:ManualMappingCuration	
TCM-SO:sx_阴囊皮肤裂开	Scrotal skin splitting/cracking	skos:closeMatch	SNOMEDCT:236780002	bifid scrotum	semapv:ManualMappingCuration	
TCM-SO:sx_尿多	polyuria	skos:exactMatch	SNOMEDCT:28442001	increased urine output	semapv:ManualMappingCuration	
TCM-SO:sx_尿多	polyuria	skos:exactMatch	SNOMEDCT:56574000	increased urine output	semapv:ManualMappingCuration	
TCM-SO:sx_尿多	polyuria	skos:exactMatch	SNOMEDCT:718402002	increased urine output	semapv:ManualMappingCuration	
TCM-SO:sx_牙龈色红	red gums	skos:closeMatch	SNOMEDCT:66383009	gingival inflammation	semapv:ManualMappingCuration	
TCM-SO:sx_阴囊水肿	Edema	skos:exactMatch	SNOMEDCT:267038008	Edema	semapv:ManualMappingCuration	
TCM-SO:sx_泄泻	Diarrhea	skos:exactMatch	SNOMEDCT:267060006	diarrhea	semapv:ManualMappingCuration	
TCM-SO:sx_泄泻	Diarrhea	skos:exactMatch	SNOMEDCT:62315008	diarrhea	semapv:ManualMappingCuration	
TCM-SO:sx_泄泻	Diarrhea	skos:closeMatch	SNOMEDCT:236071009	chronic diarrhea	semapv:ManualMappingCuration	
TCM-SO:sx_头小	microcephaly	skos:exactMatch	SNOMEDCT:271611007	abnormally small cranium	semapv:ManualMappingCuration	
TCM-SO:sx_流泪	Reflex tearing	skos:exactMatch	SNOMEDCT:267102003	Tearing	semapv:ManualMappingCuration	
TCM-SO:sx_心悸	Palpitations	skos:exactMatch	SNOMEDCT:80313002	Palpitations	semapv:ManualMappingCuration	
TCM-SO:sx_狂躁	manic agitation	skos:closeMatch	SNOMEDCT:24199005	agitation	semapv:ManualMappingCuration	
TCM-SO:sx_耳痒	ear itching	skos:closeMatch	SNOMEDCT:279333002	itching	semapv:ManualMappingCuration	
TCM-SO:sx_耳痒	ear itching	skos:closeMatch	SNOMEDCT:418290006	itching	semapv:ManualMappingCuration	
TCM-SO:sx_耳痒	ear itching	skos:closeMatch	SNOMEDCT:418363000	itching	semapv:ManualMappingCuration	
TCM-SO:sx_张口困难	difficulty opening the mouth	skos:closeMatch	SNOMEDCT:423142006	difficulty opening the eyelids	semapv:ManualMappingCuration	
TCM-SO:sx_张口困难	difficulty opening the mouth	skos:closeMatch	SNOMEDCT:87866006	decrease in jaw mobility	semapv:ManualMappingCuration	
TCM-SO:sx_斑色紫红	Purple red macule	skos:closeMatch	SNOMEDCT:112629002	flat discolored area of skin	semapv:ManualMappingCuration	
TCM-SO:sx_唇干	dry lips	skos:exactMatch	SNOMEDCT:16459000	chapped lip	semapv:ManualMappingCuration	
TCM-SO:sx_唇干	dry lips	skos:exactMatch	SNOMEDCT:238751002	chapped lip	semapv:ManualMappingCuration	
TCM-SO:sx_唇干	dry lips	skos:exactMatch	SNOMEDCT:248182008	chapped lip	semapv:ManualMappingCuration	
TCM-SO:sx_阴囊透光阴性	negative transillumination of scrotum	skos:closeMatch	SNOMEDCT:236780002	bifid scrotum	semapv:ManualMappingCuration	under_review
TCM-SO:sx_怔忡	Palpitations	skos:exactMatch	SNOMEDCT:80313002	Palpitations	semapv:ManualMappingCuration	
TCM-SO:sx_口唇干燥	dry lips	skos:exactMatch	SNOMEDCT:16459000	chapped lip	semapv:ManualMappingCuration	
TCM-SO:sx_口唇干燥	dry lips	skos:exactMatch	SNOMEDCT:238751002	chapped lip	semapv:ManualMappingCuration	
TCM-SO:sx_口唇干燥	dry lips	skos:exactMatch	SNOMEDCT:248182008	chapped lip	semapv:ManualMappingCuration	
TCM-SO:sx_神昏	Coma	skos:closeMatch	SNOMEDCT:271782001	Comatose	semapv:ManualMappingCuration	
TCM-SO:sx_瘙痒	Pruritus	skos:exactMatch	SNOMEDCT:418363000	Pruritus	semapv:ManualMappingCuration	
TCM-SO:sx_食入腹胀	Abdominal distention	skos:exactMatch	SNOMEDCT:60728008	Abdominal bloating	semapv:ManualMappingCuration	
TCM-SO:sx_隐痛	Pain	skos:closeMatch	SNOMEDCT:247355005	flank pain	semapv:ManualMappingCuration	
TCM-SO:sx_隐痛	Pain	skos:closeMatch	SNOMEDCT:29857009	chest discomfort	semapv:ManualMappingCuration	
TCM-SO:sx_隐痛	Pain	skos:closeMatch	SNOMEDCT:21522001	abdominal discomfort	semapv:ManualMappingCuration	
TCM-SO:sx_眼胞振跳	eyelid twitch	skos:closeMatch	SNOMEDCT:59026006	blepharospasm	semapv:ManualMappingCuration	
TCM-SO:sx_少腹痛	Abdominal pain	skos:exactMatch	SNOMEDCT:21522001	abdominal discomfort	semapv:ManualMappingCuration	
